date,actual_price,predicted_price,abs_error
2024-03-04,13077.2,12586.158437680822,491.0415623191784
2024-03-05,12730.4,12925.965631962083,195.565631962083
2024-03-06,12804.0,12668.68289168003,135.31710831997043
2024-03-07,11956.333333333334,12778.00743712496,821.6741037916254
2024-03-08,13053.0,12134.628302072795,918.3716979272049
2024-03-09,12357.0,13054.87361835167,697.8736183516703
2024-03-10,12357.0,12399.847515118465,42.8475151184648
2024-03-11,14128.75,12459.760517337692,1668.9894826623076
2024-03-12,14020.0,13720.65843101119,299.34156898880974
2024-03-13,14426.1,13652.623789496905,773.476210503095
2024-03-14,14832.2,14075.657102000636,756.5428979993649
2024-03-15,15153.666666666666,14373.289711738427,780.3769549282388
2024-03-16,13277.5,14849.99690232941,1572.4969023294107
2024-03-17,13536.333333333334,13478.997594944001,57.33573838933262
2024-03-18,15278.0,13805.213558177044,1472.7864418229565
2024-03-19,14423.0,15089.41628783329,666.41628783329
2024-03-20,14438.0,14398.47416915373,39.525830846270765
2024-03-21,14019.0,14410.899723532002,391.8997235320021
2024-03-22,13913.2,13968.533954123275,55.33395412327445
2024-03-23,14078.333333333334,14088.000940864576,9.667607531242538
2024-03-24,12623.0,14185.98927662192,1562.98927662192
2024-03-25,13161.8,12990.336304670682,171.4636953293175
2024-03-26,17499.0,13423.664174192349,4075.3358258076514
2024-03-27,13820.4,16623.75335169383,2803.3533516938314
2024-03-28,14262.75,13669.534759311971,593.2152406880286
2024-03-29,14997.0,14415.144144122041,581.8558558779587
2024-03-30,14748.5,14520.166363433065,228.33363656693473
2024-03-31,14248.375,14896.932734418227,648.5577344182275
2024-04-01,13748.25,14494.68222581014,746.4322258101402
2024-04-02,13248.125,13916.57006670231,668.4450667023102
2024-04-03,12748.0,13600.949039888972,852.949039888972
2024-04-04,10500.0,13196.895778675758,2696.8957786757583
2024-04-05,15050.0,11381.319149615625,3668.680850384375
2024-04-06,13701.5,14641.150605324587,939.6506053245866
2024-04-07,12353.0,13306.380375265773,953.3803752657732
2024-04-08,14169.0,12763.120259522753,1405.8797404772467
2024-04-09,13717.333333333334,13615.715953700183,101.61737963315136
2024-04-10,13455.0,13455.892087202601,0.8920872026010329
2024-04-11,12862.5,13698.762343417719,836.2623434177185
2024-04-12,12546.0,12959.27788112478,413.27788112478083
2024-04-13,13046.0,12820.768495928603,225.23150407139656
2024-04-14,13046.0,13162.413092923736,116.41309292373626
2024-04-15,13893.25,13064.633586405482,828.6164135945182
2024-04-16,12804.6,13660.364113348318,855.7641133483176
2024-04-17,13775.25,12801.269982714652,973.9800172853484
2024-04-18,13657.5,13646.688165625143,10.811834374857426
2024-04-19,13444.0,13437.214787546756,6.78521245324373
2024-04-20,13444.0,13518.670339929808,74.6703399298076
2024-04-21,13444.0,13426.602057765123,17.39794223487661
2024-04-22,13746.2,13439.914724740054,306.2852752599465
2024-04-23,14983.25,13701.447943728335,1281.8020562716647
2024-04-24,14473.75,14548.013730153834,74.26373015383433
2024-04-25,14646.25,14208.615435457586,437.6345645424135
2024-04-26,14604.25,14495.355895854193,108.89410414580743
2024-04-27,14412.5,14419.37356534669,6.873565346690157
2024-04-28,14412.5,14465.654257052422,53.1542570524216
2024-04-29,13963.25,14476.589857859448,513.3398578594479
2024-04-30,14681.5,14121.282793866389,560.2172061336114
2024-05-01,14619.0,14639.150237111347,20.15023711134745
2024-05-02,13946.8,14510.16852984073,563.3685298407308
2024-05-03,14058.0,14122.313656839495,64.3136568394948
2024-05-04,13827.0,14137.446402407162,310.44640240716217
2024-05-05,13827.0,13937.769621196228,110.7696211962284
2024-05-06,14742.5,13995.104586804187,747.3954131958126
2024-05-07,14761.25,14533.555172619848,227.69482738015176
2024-05-08,13801.0,14519.686660424552,718.6866604245515
2024-05-09,13907.4,13941.670220549166,34.27022054916597
2024-05-10,14210.4,14000.114199331441,210.2858006685583
2024-05-11,13468.0,14187.231585019448,719.2315850194482
2024-05-12,13468.0,13741.259738380979,273.2597383809789
2024-05-13,14482.8,13679.911677481909,802.8883225180907
2024-05-14,12918.8,14246.830197130424,1328.0301971304252
2024-05-15,13971.8,13185.381696020155,786.4183039798445
2024-05-16,13836.2,14009.846552613857,173.64655261385633
2024-05-17,14106.2,13636.469587014644,469.73041298535645
2024-05-18,13826.0,14102.67832384074,276.67832384074063
2024-05-19,13826.0,13770.626194661636,55.373805338364036
2024-05-20,14029.75,13821.170030679303,208.57996932069727
2024-05-21,13050.4,13976.332107239723,925.9321072397233
2024-05-22,13776.0,13313.70377286629,462.2962271337092
2024-05-23,13854.4,13833.380180120726,21.0198198792732
2024-05-24,14167.25,13738.235100879692,429.01489912030775
2024-05-25,13705.0,14088.978364520071,383.9783645200714
2024-05-26,13705.0,13676.169910571884,28.83008942811648
2024-05-27,14384.25,13731.392223656243,652.857776343757
2024-05-28,14447.0,14196.648417337687,250.35158266231338
2024-05-29,14286.0,14286.693536726454,0.6935367264541128
2024-05-30,14848.0,14234.629579392109,613.370420607891
2024-05-31,13933.0,14601.146560289308,668.1465602893077
2024-06-01,13594.666666666666,14014.192052480581,419.5253858139149
2024-06-02,13922.666666666666,13900.634038768316,22.032627898350256
2024-06-03,14911.25,13985.492042884065,925.7579571159349
2024-06-04,14700.75,14693.510429349108,7.239570650892347
2024-06-05,14091.333333333334,14533.05157313065,441.7182397973156
2024-06-06,14048.75,14140.215850343684,91.465850343684
2024-06-07,14861.4,14087.483192625192,773.9168073748078
2024-06-08,14536.266666666666,14704.373131285178,168.10646461851138
2024-06-09,14211.133333333333,14514.235891235883,303.10255790254996
2024-06-10,13886.0,14318.464999503714,432.46499950371435
2024-06-11,13670.2,13999.403122910813,329.20312291081245
2024-06-12,14563.75,13890.471344556103,673.2786554438972
2024-06-13,13863.6,14489.284676612428,625.6846766124272
2024-06-14,13812.0,13916.693436858515,104.69343685851527
2024-06-15,16188.0,13947.116833088865,2240.883166911135
2024-06-16,15537.5,15460.440241965936,77.05975803406363
2024-06-17,14887.0,15085.643926502746,198.64392650274567
2024-06-18,13892.25,14950.425155660438,1058.1751556604377
