year,month,modal_price,crop
2025,4,2824.887566137566,Salem Tapioca
2025,5,2833.96164021164,Salem Tapioca
2025,6,2912.407879818594,Salem Tapioca
2025,7,2995.1793062904176,Salem Tapioca
2025,8,2969.708994708995,Salem Tapioca
2025,9,2970.0783699059557,Salem Tapioca
2025,10,2909.2405536849983,Salem Tapioca
2025,11,2665.742424242424,Salem Tapioca
2025,12,2577.448680351906,Salem Tapioca
2026,1,2568.181818181818,Salem Tapioca
