state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,commodity_code,price_spread
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-04,6923,7801,7469,39,546
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-04,7237,8134,7943,39,706
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-05,7059,8039,7720,39,661
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-05,7499,8569,8290,39,791
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-09,7399,8340,8019,39,620
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-09,7019,7899,7645,39,626
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-10,7013,8169,7591,39,578
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-10,7019,7537,7278,39,259
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-11,6999,7573,7288,39,289
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-11,7099,8114,7686,39,587
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-12,7569,8620,8094,39,525
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-12,6500,7568,7034,39,534
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-13,7109,8419,7764,39,655
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-13,6989,7691,7340,39,351
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-16,7209,8409,7809,39,600
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-16,6399,7469,6934,39,535
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-17,7299,8499,7899,39,600
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-17,6690,7637,7163,39,473
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-18,6598,7669,7134,39,536
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-18,7429,8539,7984,39,555
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-19,7269,8609,7939,39,670
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-19,6939,7995,7467,39,528
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-20,7445,8513,7979,39,534
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-20,6669,7770,7219,39,550
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-23,6606,7699,7152,39,546
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-23,7311,8469,7890,39,579
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-24,7169,8139,7654,39,485
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-24,6493,7689,7091,39,598
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-25,7181,8230,7706,39,525
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-25,6691,7771,7231,39,540
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-03-27,7289,8299,7794,39,505
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-03-27,6309,7569,6939,39,630
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-08,6439,7697,7068,39,629
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-08,7599,8599,8099,39,500
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-09,7055,7899,7509,39,454
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-09,7699,8709,8489,39,790
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-10,6569,7867,7218,39,649
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-10,7669,8884,8276,39,607
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-13,7861,8865,8665,39,804
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-13,6919,7939,7739,39,820
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-15,7810,8939,8640,39,830
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-15,7039,7985,7639,39,600
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-16,7055,8000,7527,39,472
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-16,7209,8674,8074,39,865
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-17,7309,8719,8099,39,790
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-17,7069,8069,7569,39,500
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-20,6899,7812,7355,39,456
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-20,7299,8899,8099,39,800
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-21,6479,7799,7094,39,615
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-21,7319,8499,7909,39,590
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-22,6969,7812,7469,39,500
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-22,7349,8499,8161,39,812
Tamil Nadu,Erode,Erode,Turmeric,Finger,FAQ,2015-04-23,7189,8355,7772,39,583
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-23,7094,8061,7577,39,483
Tamil Nadu,Erode,Erode,Turmeric,Bulb,FAQ,2015-04-27,6499,7724,7330,39,831
